objectId,clusterId,area,perimeter,compactness,meanB1,stdB1,meanB2,stdB2,meanB3,stdB3,meanB4,stdB4,meanB5,stdB5,meanB6,stdB6
33,1,103,49.6569,23.9398,0.0668289,0.00130149,0.0732901,0.00124853,0.0607081,0.00113817,0.0689273,0.0012838,0.380887,0.017165,0.570323,0.00749904
34,1,228,78.9706,27.3524,0.0658924,0.000774611,0.0719619,0.000835697,0.060198,0.000925088,0.0695235,0.000877991,0.383849,0.0185722,0.634216,0.0103093
35,1,186,65.5563,23.1056,0.0662265,0.000858489,0.0722265,0.000943208,0.0609133,0.00104068,0.0692821,0.000908328,0.367721,0.0248605,0.712148,0.008445
36,1,119,62.8284,33.1715,0.0670772,0.000994446,0.0732075,0.00108318,0.0613852,0.00101977,0.0693497,0.00109473,0.379371,0.0204465,0.655349,0.0426571
37,1,198,111.314,62.5795,0.0673924,0.00118255,0.0724723,0.00303965,0.0611748,0.00141214,0.068725,0.00220947,0.37243,0.0289705,0.556477,0.0467371
38,1,217368,15422.5,1094.24,0.0719571,0.010366,0.0754311,0.0110517,0.0686984,0.0122649,0.0697632,0.00989639,0.321819,0.0450333,0.600296,0.0551144
39,1,109,62.2426,35.5426,0.0642072,0.00225189,0.0682864,0.00367909,0.0592764,0.00170096,0.0661369,0.00259021,0.353877,0.0271949,0.574758,0.0315234
40,1,137,42.7279,13.3261,0.0632294,0.00101308,0.0676289,0.000882874,0.0583534,0.00111356,0.0655745,0.00105998,0.375698,0.0146183,0.65797,0.00841037
41,1,1689,280.468,46.5733,0.0651671,0.000953766,0.0711411,0.00105702,0.0598682,0.00106738,0.0667465,0.000962667,0.338992,0.0415301,0.573388,0.0640111
42,1,67,29.0711,12.6138,0.0649379,0.000990634,0.0710843,0.000817669,0.0598699,0.000987844,0.066925,0.00090086,0.37173,0.0150521,0.690803,0.0126859
43,1,56,26.2426,12.2978,0.0654085,0.000674625,0.0712759,0.000655437,0.0599222,0.000802344,0.0674713,0.000740327,0.364846,0.0282104,0.65082,0.0114998
44,1,64,28.8284,12.9856,0.0637911,0.000902483,0.0699971,0.00104676,0.0597855,0.000856561,0.0658612,0.000817889,0.383885,0.0148217,0.593539,0.00718838
45,1,156,70.4853,31.8473,0.0637405,0.00124105,0.0664181,0.00313653,0.0598707,0.000978451,0.0632075,0.00230245,0.372197,0.0200177,0.538202,0.0578951
46,1,76,34.2426,15.4284,0.0635495,0.000848996,0.0666561,0.00104063,0.0617292,0.00133465,0.0631141,0.00117707,0.374252,0.0201608,0.571657,0.00842486
47,1,170,80.1421,37.781,0.0657672,0.000967673,0.0712651,0.00113348,0.0597562,0.00102297,0.0676018,0.00109754,0.380531,0.0164183,0.669992,0.0769739
48,1,7161,839.061,98.3135,0.0882984,0.00744173,0.0926824,0.00694514,0.0892112,0.00680984,0.085118,0.00611697,0.347474,0.042723,0.56402,0.0735772
49,1,106,47.6569,21.4262,0.0650386,0.00116332,0.0654263,0.000853702,0.0596731,0.000789915,0.0635467,0.00091304,0.352497,0.0249731,0.572794,0.0159485
50,1,89,46.8284,24.6393,0.0702237,0.00680268,0.0758545,0.00624683,0.0681433,0.0116945,0.0716087,0.00598718,0.381802,0.0144984,0.631567,0.0447057
51,1,253,129.071,65.8472,0.0791021,0.013496,0.0844184,0.0141924,0.0792705,0.0166736,0.079504,0.0126806,0.384624,0.0181081,0.59828,0.0498418
52,1,158,77.0711,37.5946,0.0698837,0.00887746,0.0746054,0.00717207,0.0656682,0.0106363,0.0704037,0.00622315,0.388037,0.0192865,0.56915,0.0191588
53,1,180,82.4853,37.799,0.0731126,0.0135518,0.0742036,0.0147978,0.0704594,0.0173847,0.0705695,0.012383,0.364619,0.0276956,0.553153,0.069854
54,1,246,104.728,44.5851,0.0883743,0.00634518,0.09267,0.00663521,0.0864564,0.0101809,0.0831411,0.00684082,0.387167,0.0191052,0.595803,0.0267514
55,1,50,30.8284,19.0078,0.0654189,0.000992377,0.071845,0.00078356,0.0600399,0.00112341,0.0667839,0.00129623,0.384314,0.0140083,0.609054,0.00540709
56,1,1991,388.225,75.7001,0.064357,0.00139553,0.0692071,0.00161911,0.0572631,0.00142504,0.0669246,0.00135266,0.344564,0.039359,0.563716,0.0354028
